totalload_actual,variable,value
35295.0,conventional,18406.0
34766.0,conventional,18198.0
34470.0,conventional,17978.0
34557.0,conventional,18845.0
36302.0,conventional,19268.0
37882.0,conventional,19922.0
38338.0,conventional,20042.0
37592.0,conventional,20062.0
34775.0,conventional,18563.0
31260.0,conventional,16942.0
28778.0,conventional,15684.0
26633.0,conventional,15183.0
25428.0,conventional,15312.0
24967.0,conventional,15288.0
24989.0,conventional,15633.0
25634.0,conventional,15507.0
28262.0,conventional,15801.0
33043.0,conventional,17628.0
35912.0,conventional,19497.0
36749.0,conventional,20063.0
37048.0,conventional,20083.0
36698.0,conventional,20134.0
36159.0,conventional,19985.0
35820.0,conventional,19924.0
34651.0,conventional,19895.0
34068.0,conventional,20122.0
33707.0,conventional,20767.0
33755.0,conventional,22151.0
35431.0,conventional,23023.0
37130.0,conventional,23214.0
37595.0,conventional,23287.0
36879.0,conventional,23148.0
34112.0,conventional,22838.0
30874.0,conventional,21770.0
28515.0,conventional,19163.0
26561.0,conventional,18391.0
25257.0,conventional,17639.0
24791.0,conventional,17316.0
24778.0,conventional,17331.0
25257.0,conventional,17800.0
27986.0,conventional,19378.0
32829.0,conventional,21825.0
35707.0,conventional,22894.0
36607.0,conventional,22877.0
36925.0,conventional,22853.0
36500.0,conventional,22675.0
35916.0,conventional,22552.0
35405.0,conventional,22465.0
34314.0,conventional,21831.0
34010.0,conventional,21957.0
33899.0,conventional,22236.0
33977.0,conventional,22890.0
35741.0,conventional,23108.0
37255.0,conventional,23354.0
37653.0,conventional,23367.0
36865.0,conventional,23155.0
34299.0,conventional,21961.0
30981.0,conventional,20534.0
28699.0,conventional,19144.0
26600.0,conventional,18134.0
25369.0,conventional,17207.0
24703.0,conventional,16450.0
24656.0,conventional,16571.0
25377.0,conventional,16583.0
28142.0,conventional,17382.0
32852.0,conventional,19516.0
35889.0,conventional,21433.0
36801.0,conventional,22137.0
37239.0,conventional,22457.0
37076.0,conventional,22515.0
36506.0,conventional,22063.0
36183.0,conventional,21676.0
34645.0,conventional,20958.0
33562.0,conventional,20748.0
33088.0,conventional,20441.0
32951.0,conventional,21262.0
34431.0,conventional,21923.0
35955.0,conventional,22407.0
36042.0,conventional,22317.0
35367.0,conventional,21992.0
33186.0,conventional,20691.0
30589.0,conventional,19782.0
28582.0,conventional,17508.0
26467.0,conventional,16561.0
24933.0,conventional,15324.0
24084.0,conventional,14544.0
23565.0,conventional,14171.0
23551.0,conventional,14232.0
24171.0,conventional,14169.0
25806.0,conventional,14217.0
27507.0,conventional,14606.0
29919.0,conventional,15235.0
31735.0,conventional,15510.0
32020.0,conventional,15421.0
31350.0,conventional,14435.0
31356.0,conventional,14452.0
30633.0,conventional,13801.0
29464.0,conventional,14108.0
28486.0,conventional,14034.0
28463.0,conventional,14228.0
30102.0,conventional,15153.0
31769.0,conventional,15990.0
32104.0,conventional,15845.0
31837.0,conventional,15789.0
30526.0,conventional,15404.0
28532.0,conventional,14331.0
26212.0,conventional,13586.0
24156.0,conventional,13079.0
22697.0,conventional,12846.0
21952.0,conventional,12645.0
21541.0,conventional,12914.0
21645.0,conventional,13075.0
22110.0,conventional,12783.0
22961.0,conventional,12984.0
23554.0,conventional,13002.0
25384.0,conventional,13413.0
27481.0,conventional,13755.0
28276.0,conventional,13845.0
28007.0,conventional,13832.0
28038.0,conventional,13744.0
27927.0,conventional,13676.0
26581.0,conventional,13159.0
25872.0,conventional,12951.0
25619.0,conventional,12849.0
27580.0,conventional,14038.0
29949.0,conventional,14755.0
31164.0,conventional,14853.0
31311.0,conventional,14789.0
30226.0,conventional,14723.0
27842.0,conventional,14599.0
25370.0,conventional,13654.0
23756.0,conventional,13190.0
22898.0,conventional,13303.0
22486.0,conventional,13144.0
22575.0,conventional,13333.0
23415.0,conventional,13817.0
26439.0,conventional,14860.0
31221.0,conventional,16407.0
34126.0,conventional,17876.0
35114.0,conventional,18585.0
35461.0,conventional,18888.0
35093.0,conventional,19067.0
34739.0,conventional,19321.0
34411.0,conventional,19251.0
33384.0,conventional,18996.0
32750.0,conventional,19371.0
32288.0,conventional,19522.0
32365.0,conventional,20040.0
33735.0,conventional,20918.0
35367.0,conventional,21565.0
35896.0,conventional,21656.0
35142.0,conventional,21966.0
32692.0,conventional,21546.0
29479.0,conventional,20207.0
27520.0,conventional,18260.0
25849.0,conventional,17611.0
24688.0,conventional,17368.0
24223.0,conventional,17321.0
24215.0,conventional,17277.0
24775.0,conventional,17638.0
27297.0,conventional,19198.0
31900.0,conventional,21894.0
34594.0,conventional,22908.0
35333.0,conventional,23024.0
35680.0,conventional,22887.0
35373.0,conventional,22833.0
34888.0,conventional,22369.0
34544.0,conventional,22523.0
33334.0,conventional,22338.0
32628.0,conventional,22206.0
32298.0,conventional,22074.0
32336.0,conventional,22276.0
33783.0,conventional,22798.0
35680.0,conventional,23396.0
36300.0,conventional,23494.0
35400.0,conventional,22873.0
32827.0,conventional,21785.0
29671.0,conventional,20245.0
27843.0,conventional,18693.0
25915.0,conventional,18554.0
24596.0,conventional,18562.0
24206.0,conventional,17996.0
23995.0,conventional,17800.0
24626.0,conventional,17821.0
27356.0,conventional,19348.0
31959.0,conventional,21507.0
34695.0,conventional,22236.0
35484.0,conventional,22445.0
35535.0,conventional,22341.0
35229.0,conventional,22216.0
34775.0,conventional,22039.0
34441.0,conventional,21602.0
33438.0,conventional,20898.0
32919.0,conventional,20783.0
32634.0,conventional,21242.0
32753.0,conventional,21626.0
34336.0,conventional,22011.0
36162.0,conventional,22426.0
36619.0,conventional,22560.0
35742.0,conventional,22222.0
33028.0,conventional,21069.0
30018.0,conventional,20275.0
27889.0,conventional,17913.0
25937.0,conventional,17020.0
24745.0,conventional,16705.0
24314.0,conventional,16098.0
24066.0,conventional,16024.0
24696.0,conventional,16365.0
27387.0,conventional,17743.0
31834.0,conventional,19777.0
34538.0,conventional,20491.0
35436.0,conventional,20976.0
35837.0,conventional,21012.0
35781.0,conventional,21024.0
35807.0,conventional,21039.0
35885.0,conventional,20887.0
34811.0,conventional,19466.0
34360.0,conventional,19201.0
34296.0,conventional,19207.0
34662.0,conventional,19315.0
35185.0,conventional,19190.0
36188.0,conventional,19261.0
36768.0,conventional,19449.0
35860.0,conventional,19507.0
33225.0,conventional,18208.0
30040.0,conventional,16574.0
27886.0,conventional,14238.0
26300.0,conventional,13699.0
25145.0,conventional,13119.0
24676.0,conventional,13138.0
24621.0,conventional,13121.0
25274.0,conventional,13147.0
27795.0,conventional,13359.0
32432.0,conventional,14515.0
35270.0,conventional,15313.0
36539.0,conventional,15703.0
37205.0,conventional,15784.0
37248.0,conventional,15757.0
36934.0,conventional,15566.0
36801.0,conventional,15528.0
35483.0,conventional,15479.0
34702.0,conventional,15213.0
34314.0,conventional,15226.0
34257.0,conventional,15704.0
35191.0,conventional,15757.0
36840.0,conventional,15985.0
36937.0,conventional,16055.0
35986.0,conventional,15955.0
33712.0,conventional,15664.0
31047.0,conventional,15214.0
29049.0,conventional,13813.0
26780.0,conventional,12881.0
25224.0,conventional,12777.0
24438.0,conventional,12963.0
24110.0,conventional,13171.0
24087.0,conventional,13223.0
24624.0,conventional,13091.0
26112.0,conventional,13367.0
27842.0,conventional,13644.0
30589.0,conventional,13944.0
32670.0,conventional,14453.0
32825.0,conventional,14731.0
32130.0,conventional,14346.0
31978.0,conventional,14281.0
31268.0,conventional,13942.0
30113.0,conventional,13706.0
29210.0,conventional,13389.0
29211.0,conventional,13927.0
30634.0,conventional,14877.0
32398.0,conventional,15901.0
32858.0,conventional,15996.0
32772.0,conventional,16095.0
31486.0,conventional,15570.0
29341.0,conventional,15063.0
27071.0,conventional,13616.0
24950.0,conventional,13052.0
23540.0,conventional,13010.0
22679.0,conventional,13062.0
22300.0,conventional,13269.0
22253.0,conventional,13044.0
22544.0,conventional,12854.0
23096.0,conventional,12868.0
23962.0,conventional,12625.0
26273.0,conventional,12694.0
28506.0,conventional,12995.0
29497.0,conventional,13016.0
29256.0,conventional,13090.0
29543.0,conventional,13420.0
29348.0,conventional,13321.0
28075.0,conventional,13056.0
27316.0,conventional,13003.0
27142.0,conventional,13195.0
28823.0,conventional,13883.0
31214.0,conventional,14605.0
32469.0,conventional,14893.0
32566.0,conventional,15071.0
31469.0,conventional,14814.0
28919.0,conventional,14540.0
26206.0,conventional,14107.0
24375.0,conventional,13712.0
23280.0,conventional,13426.0
22779.0,conventional,13551.0
22754.0,conventional,13953.0
23580.0,conventional,14851.0
26724.0,conventional,16144.0
31846.0,conventional,18810.0
34867.0,conventional,20953.0
36074.0,conventional,21636.0
36608.0,conventional,21923.0
36343.0,conventional,22185.0
35695.0,conventional,22117.0
35410.0,conventional,22077.0
34234.0,conventional,21696.0
33621.0,conventional,20794.0
33162.0,conventional,20849.0
33124.0,conventional,21685.0
34341.0,conventional,22100.0
36418.0,conventional,22140.0
36927.0,conventional,22206.0
36070.0,conventional,21874.0
33254.0,conventional,21544.0
30058.0,conventional,19345.0
27859.0,conventional,18196.0
25912.0,conventional,17548.0
24764.0,conventional,17353.0
24258.0,conventional,17269.0
24351.0,conventional,17360.0
24989.0,conventional,17851.0
27743.0,conventional,18849.0
32714.0,conventional,21049.0
35340.0,conventional,22650.0
36269.0,conventional,22929.0
36619.0,conventional,22722.0
36405.0,conventional,22713.0
35700.0,conventional,22546.0
35505.0,conventional,22493.0
34430.0,conventional,22426.0
33799.0,conventional,22337.0
33430.0,conventional,22480.0
33438.0,conventional,22841.0
34663.0,conventional,22875.0
36846.0,conventional,23085.0
37348.0,conventional,23065.0
36600.0,conventional,22880.0
33758.0,conventional,22186.0
30372.0,conventional,21264.0
28039.0,conventional,18784.0
26165.0,conventional,18261.0
25092.0,conventional,18300.0
24628.0,conventional,18354.0
24572.0,conventional,18243.0
25172.0,conventional,18351.0
27748.0,conventional,19410.0
32539.0,conventional,21666.0
35253.0,conventional,22495.0
36222.0,conventional,22515.0
36557.0,conventional,22326.0
36141.0,conventional,22208.0
35620.0,conventional,22316.0
35213.0,conventional,22078.0
34052.0,conventional,22022.0
33372.0,conventional,21730.0
33102.0,conventional,21752.0
33198.0,conventional,22030.0
34434.0,conventional,22344.0
36538.0,conventional,23210.0
37134.0,conventional,23320.0
36390.0,conventional,22814.0
33770.0,conventional,21897.0
30380.0,conventional,20997.0
22657.0,conventional,12504.0
20818.0,conventional,12340.0
19741.0,conventional,12320.0
19276.0,conventional,12306.0
19192.0,conventional,12284.0
20003.0,conventional,12436.0
22852.0,conventional,12632.0
26479.0,conventional,13032.0
29437.0,conventional,13407.0
31639.0,conventional,13053.0
33137.0,conventional,12897.0
33404.0,conventional,13220.0
33171.0,conventional,12892.0
33170.0,conventional,12732.0
32227.0,conventional,12910.0
31370.0,conventional,12545.0
31148.0,conventional,12713.0
31503.0,conventional,12903.0
33192.0,conventional,13244.0
33671.0,conventional,13324.0
